Country,Item,Year,Value
India,"Population, total",1960,435990338
India,"Population, total",1961,446564729
India,"Population, total",1962,457283090
India,"Population, total",1963,468138575
India,"Population, total",1964,479229598
India,"Population, total",1965,490140146
India,"Population, total",1966,500740247
India,"Population, total",1967,511606372
India,"Population, total",1968,522716889
India,"Population, total",1969,533880544
India,"Population, total",1970,545864268
India,"Population, total",1971,558096387
India,"Population, total",1972,570482142
India,"Population, total",1973,583465598
India,"Population, total",1974,597041391
India,"Population, total",1975,611309535
India,"Population, total",1976,625861883
India,"Population, total",1977,640801103
India,"Population, total",1978,655728229
India,"Population, total",1979,671155747
India,"Population, total",1980,687354025
India,"Population, total",1981,703696250
India,"Population, total",1982,720313473
India,"Population, total",1983,737372681
India,"Population, total",1984,754875449
India,"Population, total",1985,772647793
India,"Population, total",1986,790689978
India,"Population, total",1987,808931270
India,"Population, total",1988,827342990
India,"Population, total",1989,846039529
India,"Population, total",1990,864972221
India,"Population, total",1991,883927600
India,"Population, total",1992,902957070
India,"Population, total",1993,922118387
India,"Population, total",1994,941163767
India,"Population, total",1995,960301044
India,"Population, total",1996,979678458
India,"Population, total",1997,999133762
India,"Population, total",1998,1018665080
India,"Population, total",1999,1038225823
India,"Population, total",2000,1057922733
India,"Population, total",2001,1077898575
India,"Population, total",2002,1097600380
India,"Population, total",2003,1116803006
India,"Population, total",2004,1135991513
India,"Population, total",2005,1154676322
India,"Population, total",2006,1172878890
India,"Population, total",2007,1190676021
India,"Population, total",2008,1207930964
India,"Population, total",2009,1225524753
India,"Population, total",2010,1243481564
India,"Population, total",2011,1261224954
India,"Population, total",2012,1278674502
India,"Population, total",2013,1295829511
India,"Population, total",2014,1312277191
India,"Population, total",2015,1328024498
India,"Population, total",2016,1343944296
India,"Population, total",2017,1359657400
India,"Population, total",2018,1374659064
India,"Population, total",2019,1389030312
India,"Population, total",2020,1402617695
India,"Population, total",2021,1414203896
India,"Population, total",2022,1425423212
India,"Population, total",2023,1438069596
India,"Population, total",2024,1450935791
